pregunta,respuesta,activo
¿Cuentan con tienda física?,No. Operamos de forma 100% virtual sin atención presencial.,si
¿Cómo puedo agendar?,Podés asegurar tu espacio con un abono del 40% del valor total.,si
¿Cuál es el tiempo de entrega?,"Gala: 30 días hábiles. Boho y Semi-Formal: 15 días hábiles.",si
¿Cómo es el proceso de pago?,"Se requiere un 40% para confirmar el pedido por SINPE Móvil o transferencia. El resto se cancela previo a la entrega.",si
¿Cómo recibo mi pedido?,"Por Correos de Costa Rica (₡3.800 adicional) o retiro en San Ramón los viernes de 4pm a 8pm.",si
¿Puedo elegir el color?,Sí. Los colores varían según la tela. Consultanos por WhatsApp para ver tonos disponibles.,si
